index,card_name,set_name,card_market_value,card_id,set_id,card_number,binder_name,page_number,slot_number
1-4-8,Magikarp,Base,2.06,base1-35,base1,35,1,4,8
1-4-9,Magmar,Base,2.69,base1-36,base1,36,1,4,9
1-5-1,Nidorino,Base,1.81,base1-37,base1,37,1,5,1
1-5-2,Poliwhirl,Base,1.43,base1-38,base1,38,1,5,2
1-5-3,Porygon,Base,1.98,base1-39,base1,39,1,5,3
1-5-4,Raticate,Base,2.08,base1-40,base1,40,1,5,4
1-5-5,Seel,Base,1.01,base1-41,base1,41,1,5,5
1-5-6,Wartortle,Base,2.58,base1-42,base1,42,1,5,6
1-5-7,Abra,Base,0.53,base1-43,base1,43,1,5,7
1-5-8,Bulbasaur,Base,1.88,base1-44,base1,44,1,5,8
1-5-9,Caterpie,Base,0.91,base1-45,base1,45,1,5,9
1-6-1,Charmander,Base,1.92,base1-46,base1,46,1,6,1
1-6-2,Diglett,Base,0.43,base1-47,base1,47,1,6,2
1-6-3,Doduo,Base,1.1,base1-48,base1,48,1,6,3
1-6-4,Drowzee,Base,0.45,base1-49,base1,49,1,6,4
1-6-5,Gastly,Base,0.63,base1-50,base1,50,1,6,5
1-6-6,Koffing,Base,0.42,base1-51,base1,51,1,6,6
1-6-7,Machop,Base,0.33,base1-52,base1,52,1,6,7
1-6-8,Magnemite,Base,0.52,base1-53,base1,53,1,6,8
1-6-9,Metapod,Base,0.74,base1-54,base1,54,1,6,9
1-7-1,Nidoran ♂,Base,0.43,base1-55,base1,55,1,7,1
1-7-2,Onix,Base,0.65,base1-56,base1,56,1,7,2
1-7-3,Pidgey,Base,0.94,base1-57,base1,57,1,7,3
1-7-4,Pikachu,Base,3.12,base1-58,base1,58,1,7,4
1-7-5,Poliwag,Base,0.36,base1-59,base1,59,1,7,5
1-7-6,Ponyta,Base,0.41,base1-60,base1,60,1,7,6
1-7-7,Rattata,Base,0.42,base1-61,base1,61,1,7,7
1-7-8,Sandshrew,Base,0.66,base1-62,base1,62,1,7,8
1-7-9,Squirtle,Base,3.06,base1-63,base1,63,1,7,9
1-8-1,Starmie,Base,0.42,base1-64,base1,64,1,8,1
1-8-2,Staryu,Base,0.31,base1-65,base1,65,1,8,2
1-8-3,Tangela,Base,0.52,base1-66,base1,66,1,8,3
1-8-4,Voltorb,Base,1.4,base1-67,base1,67,1,8,4
1-8-5,Vulpix,Base,0.44,base1-68,base1,68,1,8,5
1-8-6,Weedle,Base,0.4,base1-69,base1,69,1,8,6
1-8-7,Clefairy Doll,Base,5.44,base1-70,base1,70,1,8,7
1-8-8,Computer Search,Base,3.01,base1-71,base1,71,1,8,8
1-8-9,Devolution Spray,Base,4.46,base1-72,base1,72,1,8,9
1-9-1,Impostor Professor Oak,Base,5.97,base1-73,base1,73,1,9,1
1-9-2,Item Finder,Base,8.6,base1-74,base1,74,1,9,2
1-9-3,Lass,Base,2.66,base1-75,base1,75,1,9,3
1-9-4,Pokémon Breeder,Base,6.93,base1-76,base1,76,1,9,4
1-9-5,Pokémon Trader,Base,4.21,base1-77,base1,77,1,9,5
1-9-6,Scoop Up,Base,6.88,base1-78,base1,78,1,9,6
1-9-7,Super Energy Removal,Base,3.2,base1-79,base1,79,1,9,7
1-9-8,Defender,Base,1.38,base1-80,base1,80,1,9,8
1-9-9,Energy Retrieval,Base,0.69,base1-81,base1,81,1,9,9
1-10-1,Full Heal,Base,1.48,base1-82,base1,82,1,10,1
1-10-2,Maintenance,Base,2.29,base1-83,base1,83,1,10,2
1-10-3,PlusPower,Base,0.58,base1-84,base1,84,1,10,3
1-10-4,Pokémon Center,Base,1.57,base1-85,base1,85,1,10,4
1-10-5,Pokémon Flute,Base,2.78,base1-86,base1,86,1,10,5
1-10-6,Pokédex,Base,0.44,base1-87,base1,87,1,10,6
1-10-7,Professor Oak,Base,1.43,base1-88,base1,88,1,10,7
1-10-8,Revive,Base,2.27,base1-89,base1,89,1,10,8
1-10-9,Super Potion,Base,0.3,base1-90,base1,90,1,10,9
1-11-1,Bill,Base,0.35,base1-91,base1,91,1,11,1
1-11-2,Energy Removal,Base,0.41,base1-92,base1,92,1,11,2
1-11-3,Gust of Wind,Base,0.28,base1-93,base1,93,1,11,3
1-11-4,Potion,Base,0.21,base1-94,base1,94,1,11,4
1-11-5,Switch,Base,0.29,base1-95,base1,95,1,11,5
1-11-6,Double Colorless Energy,Base,5.67,base1-96,base1,96,1,11,6
1-11-7,Fighting Energy,Base,0.32,base1-97,base1,97,1,11,7
1-11-8,Fire Energy,Base,0.29,base1-98,base1,98,1,11,8
1-11-9,Grass Energy,Base,0.29,base1-99,base1,99,1,11,9
1-12-1,Lightning Energy,Base,0.32,base1-100,base1,100,1,12,1
1-12-2,Psychic Energy,Base,0.36,base1-101,base1,101,1,12,2
1-12-3,Water Energy,Base,0.29,base1-102,base1,102,1,12,3
1-12-4,Charizard,Base,457.99,base1-4,base1,4,1,12,4
1-12-5,Blastoise,Base,157.93,base1-2,base1,2,1,12,5
1-12-6,Venusaur,Base,117.19,base1-15,base1,15,1,12,6
1-12-7,Mewtwo,Base,37.49,base1-10,base1,10,1,12,7
1-12-8,Zapdos,Base,38.26,base1-16,base1,16,1,12,8
1-12-9,Raichu,Base,43.95,base1-14,base1,14,1,12,9
1-13-1,Alakazam,Base,56.08,base1-1,base1,1,1,13,1
1-13-2,Chansey,Base,29.34,base1-3,base1,3,1,13,2
1-13-3,Ninetales,Base,23.33,base1-12,base1,12,1,13,3
1-13-4,Machamp,Base,0.0,base1-8,base1,8,1,13,4
1-13-5,Charizard,Base,457.99,base1-4,base1,4,1,13,5
1-13-6,Mewtwo,Base,37.49,base1-10,base1,10,1,13,6
1-13-7,Pikachu,Base,3.12,base1-58,base1,58,1,13,7
1-13-8,Bulbasaur,Base,1.88,base1-44,base1,44,1,13,8
1-13-9,Charmander,Base,1.92,base1-46,base1,46,1,13,9
1-14-1,Squirtle,Base,3.06,base1-63,base1,63,1,14,1
1-14-2,Pidgey,Base,0.94,base1-57,base1,57,1,14,2
1-14-3,Rattata,Base,0.42,base1-61,base1,61,1,14,3
1-14-4,Clefairy,Base,25.98,base1-5,base1,5,1,14,4
1-14-5,Jynx,Base,0.69,base1-31,base1,31,1,14,5
1-14-6,Magikarp,Base,2.06,base1-35,base1,35,1,14,6
1-14-7,Abra,Base,0.53,base1-43,base1,43,1,14,7
1-14-8,Machop,Base,0.33,base1-52,base1,52,1,14,8
1-14-9,Magnemite,Base,0.52,base1-53,base1,53,1,14,9
1-15-1,Koffing,Base,0.42,base1-51,base1,51,1,15,1
1-15-2,Gastly,Base,0.63,base1-50,base1,50,1,15,2
1-15-3,Vulpix,Base,0.44,base1-68,base1,68,1,15,3
1-15-4,Ponyta,Base,0.41,base1-60,base1,60,1,15,4
1-15-5,Drowzee,Base,0.45,base1-49,base1,49,1,15,5
1-15-6,Diglett,Base,0.43,base1-47,base1,47,1,15,6
1-15-7,Weedle,Base,0.4,base1-69,base1,69,1,15,7
1-15-8,Caterpie,Base,0.91,base1-45,base1,45,1,15,8
1-15-9,Nidoran ♂,Base,0.43,base1-55,base1,55,1,15,9
1-16-1,Poliwag,Base,0.36,base1-59,base1,59,1,16,1
1-16-2,Poliwhirl,Base,1.43,base1-38,base1,38,1,16,2
1-16-3,Ivysaur,Base,2.26,base1-30,base1,30,1,16,3
1-16-4,Wartortle,Base,2.58,base1-42,base1,42,1,16,4
1-16-5,Charmeleon,Base,1.71,base1-24,base1,24,1,16,5
1-16-6,Kadabra,Base,1.38,base1-32,base1,32,1,16,6
1-16-7,Machoke,Base,0.62,base1-34,base1,34,1,16,7
1-16-8,Kakuna,Base,1.02,base1-33,base1,33,1,16,8
1-16-9,Metapod,Base,0.74,base1-54,base1,54,1,16,9
1-17-1,Dragonair,Base,14.5,base1-18,base1,18,1,17,1
1-17-2,Dratini,Base,1.81,base1-26,base1,26,1,17,2
1-17-3,Growlithe,Base,0.98,base1-28,base1,28,1,17,3
1-17-4,Arcanine,Base,2.81,base1-23,base1,23,1,17,4
1-17-5,Electrode,Base,6.72,base1-21,base1,21,1,17,5
1-17-6,Electabuzz,Base,7.27,base1-20,base1,20,1,17,6
1-17-7,Starmie,Base,0.42,base1-64,base1,64,1,17,7
1-17-8,Staryu,Base,0.31,base1-65,base1,65,1,17,8
1-17-9,Double Colorless Energy,Base,5.67,base1-96,base1,96,1,17,9
1-18-1,Professor Oak,Base,1.43,base1-88,base1,88,1,18,1
1-18-2,Bill,Base,0.35,base1-91,base1,91,1,18,2
1-18-3,Energy Removal,Base,0.41,base1-92,base1,92,1,18,3
1-18-4,Pokédex,Base,0.44,base1-87,base1,87,1,18,4
1-18-5,Switch,Base,0.29,base1-95,base1,95,1,18,5
1-18-6,Potion,Base,0.21,base1-94,base1,94,1,18,6
1-18-7,Super Potion,Base,0.3,base1-90,base1,90,1,18,7
1-18-8,Pokémon Center,Base,1.57,base1-85,base1,85,1,18,8
1-18-9,Energy Retrieval,Base,0.69,base1-81,base1,81,1,18,9
1-19-1,Fire Energy,Base,0.29,base1-98,base1,98,1,19,1
1-19-2,Lightning Energy,Base,0.32,base1-100,base1,100,1,19,2
1-19-3,Water Energy,Base,0.29,base1-102,base1,102,1,19,3
1-19-4,Grass Energy,Base,0.29,base1-99,base1,99,1,19,4
1-19-5,Psychic Energy,Base,0.36,base1-101,base1,101,1,19,5
1-19-6,Fighting Energy,Base,0.32,base1-97,base1,97,1,19,6
1-19-7,Double Colorless Energy,Base,5.67,base1-96,base1,96,1,19,7
1-19-8,Charizard,Base,457.99,base1-4,base1,4,1,19,8
1-19-9,Blastoise,Base,157.93,base1-2,base1,2,1,19,9
1-20-1,Venusaur,Base,117.19,base1-15,base1,15,1,20,1
1-20-2,Mewtwo,Base,37.49,base1-10,base1,10,1,20,2
1-20-3,Zapdos,Base,38.26,base1-16,base1,16,1,20,3
1-20-4,Gyarados,Base,32.97,base1-6,base1,6,1,20,4
1-20-5,Poliwrath,Base,20.86,base1-13,base1,13,1,20,5
1-20-6,Nidoking,Base,28.56,base1-11,base1,11,1,20,6
1-20-7,Hitmonchan,Base,18.57,base1-7,base1,7,1,20,7
1-20-8,Magneton,Base,20.42,base1-9,base1,9,1,20,8
1-20-9,Chansey,Base,29.34,base1-3,base1,3,1,20,9
2-1-1,Alakazam,Base Set 2,36.62,base4-1,base4,1,2,1,1
2-1-2,Blastoise,Base Set 2,102.46,base4-2,base4,2,2,1,2
2-1-3,Chansey,Base Set 2,14.71,base4-3,base4,3,2,1,3
2-1-4,Charizard,Base Set 2,304.88,base4-4,base4,4,2,1,4
2-1-5,Clefable,Base Set 2,14.16,base4-5,base4,5,2,1,5
2-1-6,Clefairy,Base Set 2,10.62,base4-6,base4,6,2,1,6
2-1-7,Gyarados,Base Set 2,26.74,base4-7,base4,7,2,1,7
2-1-8,Hitmonchan,Base Set 2,21.05,base4-8,base4,8,2,1,8
2-1-9,Magneton,Base Set 2,12.05,base4-9,base4,9,2,1,9
2-2-1,Mewtwo,Base Set 2,41.09,base4-10,base4,10,2,2,1
2-2-2,Nidoking,Base Set 2,24.12,base4-11,base4,11,2,2,2
2-2-3,Nidoqueen,Base Set 2,22.97,base4-12,base4,12,2,2,3
2-2-4,Ninetales,Base Set 2,21.23,base4-13,base4,13,2,2,4
2-2-5,Pidgeot,Base Set 2,27.21,base4-14,base4,14,2,2,5
2-2-6,Poliwrath,Base Set 2,13.57,base4-15,base4,15,2,2,6
2-2-7,Raichu,Base Set 2,33.18,base4-16,base4,16,2,2,7
2-2-8,Scyther,Base Set 2,24.35,base4-17,base4,17,2,2,8
2-2-9,Venusaur,Base Set 2,73.39,base4-18,base4,18,2,2,9
2-3-1,Wigglytuff,Base Set 2,10.85,base4-19,base4,19,2,3,1
2-3-2,Zapdos,Base Set 2,24.26,base4-20,base4,20,2,3,2
2-3-3,Beedrill,Base Set 2,1.93,base4-21,base4,21,2,3,3
2-3-4,Dragonair,Base Set 2,8.61,base4-22,base4,22,2,3,4
2-3-5,Dugtrio,Base Set 2,3.29,base4-23,base4,23,2,3,5
2-3-6,Electabuzz,Base Set 2,3.15,base4-24,base4,24,2,3,6
2-3-7,Electrode,Base Set 2,3.89,base4-25,base4,25,2,3,7
2-3-8,Kangaskhan,Base Set 2,3.12,base4-26,base4,26,2,3,8
2-3-9,Mr. Mime,Base Set 2,6.03,base4-27,base4,27,2,3,9
2-4-1,Pidgeotto,Base Set 2,3.87,base4-28,base4,28,2,4,1
2-4-2,Pinsir,Base Set 2,3.31,base4-29,base4,29,2,4,2
2-4-3,Snorlax,Base Set 2,9.4,base4-30,base4,30,2,4,3
2-4-4,Venomoth,Base Set 2,3.31,base4-31,base4,31,2,4,4
2-4-5,Victreebel,Base Set 2,2.81,base4-32,base4,32,2,4,5
2-4-6,Arcanine,Base Set 2,2.06,base4-33,base4,33,2,4,6
2-4-7,Butterfree,Base Set 2,1.61,base4-34,base4,34,2,4,7
2-4-8,Charmeleon,Base Set 2,1.74,base4-35,base4,35,2,4,8
2-4-9,Dewgong,Base Set 2,1.22,base4-36,base4,36,2,4,9
2-5-1,Dodrio,Base Set 2,1.72,base4-37,base4,37,2,5,1
2-5-2,Dratini,Base Set 2,1.05,base4-38,base4,38,2,5,2
2-5-3,Exeggutor,Base Set 2,1.18,base4-39,base4,39,2,5,3
2-5-4,Farfetch'd,Base Set 2,0.49,base4-40,base4,40,2,5,4
2-5-5,Fearow,Base Set 2,1.34,base4-41,base4,41,2,5,5
2-5-6,Growlithe,Base Set 2,1.21,base4-42,base4,42,2,5,6
2-5-7,Haunter,Base Set 2,0.85,base4-43,base4,43,2,5,7
2-5-8,Ivysaur,Base Set 2,3.64,base4-44,base4,44,2,5,8
2-5-9,Jynx,Base Set 2,0.63,base4-45,base4,45,2,5,9
2-6-1,Kadabra,Base Set 2,1.25,base4-46,base4,46,2,6,1
2-6-2,Kakuna,Base Set 2,0.65,base4-47,base4,47,2,6,2
2-6-3,Lickitung,Base Set 2,1.26,base4-48,base4,48,2,6,3
2-6-4,Machoke,Base Set 2,0.55,base4-49,base4,49,2,6,4
2-6-5,Magikarp,Base Set 2,0.9,base4-50,base4,50,2,6,5
2-6-6,Magmar,Base Set 2,1.08,base4-51,base4,51,2,6,6
2-6-7,Marowak,Base Set 2,1.87,base4-52,base4,52,2,6,7
2-6-8,Nidorina,Base Set 2,0.65,base4-53,base4,53,2,6,8
2-6-9,Nidorino,Base Set 2,1.6,base4-54,base4,54,2,6,9
2-7-1,Parasect,Base Set 2,0.97,base4-55,base4,55,2,7,1
2-7-2,Persian,Base Set 2,1.73,base4-56,base4,56,2,7,2
2-7-3,Poliwhirl,Base Set 2,0.92,base4-57,base4,57,2,7,3
2-7-4,Raticate,Base Set 2,0.96,base4-58,base4,58,2,7,4
2-7-5,Rhydon,Base Set 2,1.83,base4-59,base4,59,2,7,5
2-7-6,Seaking,Base Set 2,0.56,base4-60,base4,60,2,7,6
2-7-7,Seel,Base Set 2,0.59,base4-61,base4,61,2,7,7
2-7-8,Tauros,Base Set 2,3.01,base4-62,base4,62,2,7,8
2-7-9,Wartortle,Base Set 2,1.77,base4-63,base4,63,2,7,9
2-8-1,Weepinbell,Base Set 2,1.14,base4-64,base4,64,2,8,1
2-8-2,Abra,Base Set 2,0.42,base4-65,base4,65,2,8,2
2-8-3,Bellsprout,Base Set 2,0.43,base4-66,base4,66,2,8,3
2-8-4,Bulbasaur,Base Set 2,2.24,base4-67,base4,67,2,8,4
2-8-5,Caterpie,Base Set 2,0.42,base4-68,base4,68,2,8,5
2-8-6,Charmander,Base Set 2,1.15,base4-69,base4,69,2,8,6
2-8-7,Cubone,Base Set 2,0.81,base4-70,base4,70,2,8,7
2-8-8,Diglett,Base Set 2,0.38,base4-71,base4,71,2,8,8
2-8-9,Doduo,Base Set 2,0.41,base4-72,base4,72,2,8,9
2-9-1,Drowzee,Base Set 2,0.44,base4-73,base4,73,2,9,1
2-9-2,Exeggcute,Base Set 2,0.49,base4-74,base4,74,2,9,2
2-9-3,Gastly,Base Set 2,0.47,base4-75,base4,75,2,9,3
2-9-4,Goldeen,Base Set 2,0.38,base4-76,base4,76,2,9,4
2-9-5,Jigglypuff,Base Set 2,0.75,base4-77,base4,77,2,9,5
2-9-6,Machop,Base Set 2,0.42,base4-78,base4,78,2,9,6
2-9-7,Magnemite,Base Set 2,0.41,base4-79,base4,79,2,9,7
2-9-8,Meowth,Base Set 2,0.55,base4-80,base4,80,2,9,8
2-9-9,Metapod,Base Set 2,0.43,base4-81,base4,81,2,9,9
2-10-1,Nidoran ♀,Base Set 2,0.47,base4-82,base4,82,2,10,1
2-10-2,Nidoran ♂,Base Set 2,0.64,base4-83,base4,83,2,10,2
2-10-3,Onix,Base Set 2,0.83,base4-84,base4,84,2,10,3
2-10-4,Paras,Base Set 2,0.38,base4-85,base4,85,2,10,4
2-10-5,Pidgey,Base Set 2,0.54,base4-86,base4,86,2,10,5
2-10-6,Pikachu,Base Set 2,2.19,base4-87,base4,87,2,10,6
2-10-7,Poliwag,Base Set 2,0.36,base4-88,base4,88,2,10,7
2-10-8,Rattata,Base Set 2,0.45,base4-89,base4,89,2,10,8
2-10-9,Rhyhorn,Base Set 2,0.44,base4-90,base4,90,2,10,9
2-11-1,Sandshrew,Base Set 2,0.35,base4-91,base4,91,2,11,1
2-11-2,Spearow,Base Set 2,0.49,base4-92,base4,92,2,11,2
2-11-3,Squirtle,Base Set 2,1.15,base4-93,base4,93,2,11,3
2-11-4,Starmie,Base Set 2,0.51,base4-94,base4,94,2,11,4
2-11-5,Staryu,Base Set 2,0.27,base4-95,base4,95,2,11,5
2-11-6,Tangela,Base Set 2,0.34,base4-96,base4,96,2,11,6
2-11-7,Venonat,Base Set 2,0.6,base4-97,base4,97,2,11,7
2-11-8,Voltorb,Base Set 2,0.53,base4-98,base4,98,2,11,8
2-11-9,Vulpix,Base Set 2,0.81,base4-99,base4,99,2,11,9
2-12-1,Weedle,Base Set 2,0.38,base4-100,base4,100,2,12,1
2-12-2,Computer Search,Base Set 2,2.66,base4-101,base4,101,2,12,2
2-12-3,Imposter Professor Oak,Base Set 2,2.23,base4-102,base4,102,2,12,3
2-12-4,Item Finder,Base Set 2,7.39,base4-103,base4,103,2,12,4
2-12-5,Lass,Base Set 2,2.72,base4-104,base4,104,2,12,5
2-12-6,Pokémon Breeder,Base Set 2,4.5,base4-105,base4,105,2,12,6
2-12-7,Pokémon Trader,Base Set 2,3.22,base4-106,base4,106,2,12,7
2-12-8,Scoop Up,Base Set 2,4.22,base4-107,base4,107,2,12,8
2-12-9,Super Energy Removal,Base Set 2,2.55,base4-108,base4,108,2,12,9
2-13-1,Defender,Base Set 2,0.31,base4-109,base4,109,2,13,1
2-13-2,Energy Retrieval,Base Set 2,0.34,base4-110,base4,110,2,13,2
2-13-3,Full Heal,Base Set 2,0.37,base4-111,base4,111,2,13,3
2-13-4,Maintenance,Base Set 2,0.74,base4-112,base4,112,2,13,4
2-13-5,PlusPower,Base Set 2,0.37,base4-113,base4,113,2,13,5
2-13-6,Pokémon Center,Base Set 2,0.83,base4-114,base4,114,2,13,6
2-13-7,Pokédex,Base Set 2,0.46,base4-115,base4,115,2,13,7
2-13-8,Professor Oak,Base Set 2,1.29,base4-116,base4,116,2,13,8
2-13-9,Super Potion,Base Set 2,0.32,base4-117,base4,117,2,13,9
2-14-1,Bill,Base Set 2,0.33,base4-118,base4,118,2,14,1
2-14-2,Energy Removal,Base Set 2,0.29,base4-119,base4,119,2,14,2
2-14-3,Gust of Wind,Base Set 2,0.34,base4-120,base4,120,2,14,3
2-14-4,Poké Ball,Base Set 2,0.27,base4-121,base4,121,2,14,4
2-14-5,Potion,Base Set 2,0.23,base4-122,base4,122,2,14,5
2-14-6,Switch,Base Set 2,0.32,base4-123,base4,123,2,14,6
2-14-7,Double Colorless Energy,Base Set 2,2.28,base4-124,base4,124,2,14,7
2-14-8,Fighting Energy,Base Set 2,0.29,base4-125,base4,125,2,14,8
2-14-9,Fire Energy,Base Set 2,0.74,base4-126,base4,126,2,14,9
2-15-1,Grass Energy,Base Set 2,0.29,base4-127,base4,127,2,15,1
2-15-2,Lightning Energy,Base Set 2,0.36,base4-128,base4,128,2,15,2
2-15-3,Psychic Energy,Base Set 2,0.29,base4-129,base4,129,2,15,3
2-15-4,Water Energy,Base Set 2,0.25,base4-130,base4,130,2,15,4
2-15-5,Charizard,Base Set 2,304.88,base4-4,base4,4,2,15,5
2-15-6,Blastoise,Base Set 2,102.46,base4-2,base4,2,2,15,6
2-15-7,Venusaur,Base Set 2,73.39,base4-18,base4,18,2,15,7
2-15-8,Mewtwo,Base Set 2,41.09,base4-10,base4,10,2,15,8
2-15-9,Zapdos,Base Set 2,24.26,base4-20,base4,20,2,15,9
2-16-1,Raichu,Base Set 2,33.18,base4-16,base4,16,2,16,1
2-16-2,Scyther,Base Set 2,24.35,base4-17,base4,17,2,16,2
2-16-3,Wigglytuff,Base Set 2,10.85,base4-19,base4,19,2,16,3
2-16-4,Pidgeot,Base Set 2,27.21,base4-14,base4,14,2,16,4
2-16-5,Nidoqueen,Base Set 2,22.97,base4-12,base4,12,2,16,5
2-16-6,Nidoking,Base Set 2,24.12,base4-11,base4,11,2,16,6
2-16-7,Alakazam,Base Set 2,36.62,base4-1,base4,1,2,16,7
2-16-8,Gyarados,Base Set 2,26.74,base4-7,base4,7,2,16,8
2-16-9,Chansey,Base Set 2,14.71,base4-3,base4,3,2,16,9
2-17-1,Clefable,Base Set 2,14.16,base4-5,base4,5,2,17,1
2-17-2,Pikachu,Base Set 2,2.19,base4-87,base4,87,2,17,2
2-17-3,Bulbasaur,Base Set 2,2.24,base4-67,base4,67,2,17,3
2-17-4,Charmander,Base Set 2,1.15,base4-69,base4,69,2,17,4
2-17-5,Squirtle,Base Set 2,1.15,base4-93,base4,93,2,17,5
2-17-6,Pidgey,Base Set 2,0.54,base4-86,base4,86,2,17,6
2-17-7,Rattata,Base Set 2,0.45,base4-89,base4,89,2,17,7
2-17-8,Clefairy,Base Set 2,10.62,base4-6,base4,6,2,17,8
2-17-9,Magikarp,Base Set 2,0.9,base4-50,base4,50,2,17,9
2-18-1,Abra,Base Set 2,0.42,base4-65,base4,65,2,18,1
2-18-2,Machop,Base Set 2,0.42,base4-78,base4,78,2,18,2
2-18-3,Magnemite,Base Set 2,0.41,base4-79,base4,79,2,18,3
2-18-4,Gastly,Base Set 2,0.47,base4-75,base4,75,2,18,4
2-18-5,Vulpix,Base Set 2,0.81,base4-99,base4,99,2,18,5
2-18-6,Ponyta,Base Set 2,0.56,base4-60,base4,60,2,18,6
2-18-7,Weedle,Base Set 2,0.38,base4-100,base4,100,2,18,7
2-18-8,Caterpie,Base Set 2,0.42,base4-68,base4,68,2,18,8
2-18-9,Poliwag,Base Set 2,0.36,base4-88,base4,88,2,18,9
2-19-1,Poliwhirl,Base Set 2,0.92,base4-57,base4,57,2,19,1
2-19-2,Ivysaur,Base Set 2,3.64,base4-44,base4,44,2,19,2
2-19-3,Wartortle,Base Set 2,1.77,base4-63,base4,63,2,19,3
2-19-4,Charmeleon,Base Set 2,1.74,base4-35,base4,35,2,19,4
2-19-5,Kadabra,Base Set 2,1.25,base4-46,base4,46,2,19,5
2-19-6,Machoke,Base Set 2,0.55,base4-49,base4,49,2,19,6
2-19-7,Kakuna,Base Set 2,0.65,base4-47,base4,47,2,19,7
2-19-8,Metapod,Base Set 2,0.43,base4-81,base4,81,2,19,8
2-19-9,Dragonair,Base Set 2,8.61,base4-22,base4,22,2,19,9
2-20-1,Dratini,Base Set 2,1.05,base4-38,base4,38,2,20,1
2-20-2,Growlithe,Base Set 2,1.21,base4-42,base4,42,2,20,2
2-20-3,Arcanine,Base Set 2,2.06,base4-33,base4,33,2,20,3
2-20-4,Electrode,Base Set 2,3.89,base4-25,base4,25,2,20,4
2-20-5,Electabuzz,Base Set 2,3.15,base4-24,base4,24,2,20,5
2-20-6,Double Colorless Energy,Base Set 2,2.28,base4-124,base4,124,2,20,6
2-20-7,Professor Oak,Base Set 2,1.29,base4-116,base4,116,2,20,7
2-20-8,Bill,Base Set 2,0.33,base4-118,base4,118,2,20,8
2-20-9,Energy Removal,Base Set 2,0.29,base4-119,base4,119,2,20,9
